UNIQUE_ID,UNIQUE_ID_new,Date,Company,Peer_group_root,Type_Template,Type_Listing,CapitalIQ_ID,CompanyId,Region,Country,ISIN,Ticker,Exchange,total_esg_score,governance_score,social_score,environment_score,E_1_1,E_1_2,E_1_3,E_1_4,E_1_5,E_1_6,E_1_7,E_1_8,E_1_9,E_1_10,E_1_11,E_1_12,E_1_1_1,E_1_2_1,E_1_2_2,E_1_2_3,E_1_2_4,E_1_2_6,E_1_2_7,E_1_2_8,E_1_3_2,E_1_3_3,E_1_3_4,E_1_3_5,E_1_7_0,E_1_7_1,E_1_7_2,E_2_1,E_2_2,E_2_1_1,E_2_1_2,E_2_1_3,E_2_1_4,E_2_1_5,E_2_1_6,E_2_1_7,E_2_1_8,E_2_1_9,E_2_1_10,E_3_2,E_3_1_1,E_3_1_2,E_3_1_3,E_3_1_4,E_3_1_5,E_3_1_6,E_3_1_7,E_3_1_8,E_3_1_9,E_3_1_10,E_3_1_11,E_3_1_12,E_3_1_13,E_3_1_14,E_3_1_15,E_3_1_16,E_3_1_17,G_1_1,G_1_2,G_1_3,G_1_4,G_1_5,G_1_1_1,G_1_3_1,G_1_3_2,G_1_3_3,G_1_3_4,G_1_3_5,G_1_4_1,G_1_4_3,G_1_4_4,G_1_4_5,G_1_4_6,G_2_1,G_2_2,G_2_3,G_2_4,G_2_5,G_2_6,G_2_7,G_2_8,G_2_9,G_2_10,G_2_11,G_2_12,G_2_13,G_2_5_1,G_3_1,G_3_2,G_3_4,G_3_3_1,S_1_1,S_1_2,S_1_3,S_1_4,S_1_5,S_1_6,S_1_7,S_1_1_1,S_1_5_1,S_1_6_1,S_1_6_2,S_1_6_3,S_1_6_4,S_1_6_5,S_1_6_6,S_1_6_2_1,S_2_1,S_2_2,S_2_3,S_2_1_1,S_2_1_2,S_2_1_3,S_2_1_3_1,S_2_2_1,S_2_2_2,S_2_2_3,S_2_2_4,S_2_2_2_1,S_3_3,S_3_1_1,S_3_1_2,S_3_1_3,S_3_1_4,S_3_1_5,S_3_1_6,S_3_1_7,S_3_1_8,S_3_1_9,S_3_1_10,S_3_1_11,S_3_1_12,S_3_2_1,S_4_1,S_4_3,S_4_2_1,S_4_2_2,S_4_2_3,S_4_2_4,S_4_2_5,S_4_2_6,S_4_2_7,S_4_2_8,S_4_2_9,S_4_2_10,S_4_2_11,S_4_2_12,S_4_2_13,S_4_2_14,S_5_1,S_5_2,S_5_3,E_1_2_6_2,E_1_3_1,G_1_3_6,G_2_10_1,G_2_11_1,G_2_12_1,G_2_3_1,G_2_4_1,G_2_7_1,G_2_8_1,G_2_9_1
IQ2493742099,,20150405,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,63,62,45,80,1.090909,2.181818,2.181818,0.545454,0.545454,0.545454,1.090909,0.136363,1.090909,0,0.545454,8.727273,,,,,,,,,0.40909,,0.272727,0.545454,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,3.2,,,,,,,,,,,,0,0,0.249999,0.249999,0.299999,0,0.599999,0.499999,0.999999,0.249999,0.249999,0.249999,4.207499,,0.562499,0,1.499999,,0,0.25,0.125,0,0,0,3.465,0,,,0.125,,,0,,,0.5,1,2,0.5,0.5,0.2,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742127,,20150503,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,63,62,45,80,1.090909,2.181818,2.181818,0.545454,0.545454,0.545454,1.090909,0.136363,1.090909,0,0.545454,8.727273,,,,,,,,,0.40909,,0.272727,0.545454,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,3.2,,,,,,,,,,,,0,0,0.249999,0.249999,0.299999,0,0.599999,0.499999,0.999999,0.249999,0.249999,0.249999,4.207499,,0.562499,0,1.499999,,0,0.25,0.125,0,0,0,3.465,0,,,0.125,,,0,,,0.5,1,2,0.5,0.5,0.2,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742162,,20150607,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,63,62,45,80,1.090909,2.181818,2.181818,0.545454,0.545454,0.545454,1.090909,0.136363,1.090909,0,0.545454,8.727273,,,,,,,,,0.40909,,0.272727,0.545454,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,3.2,,,,,,,,,,,,0,0,0.249999,0.249999,0.299999,0,0.599999,0.499999,0.999999,0.249999,0.249999,0.249999,4.207499,,0.562499,0,1.499999,,0,0.25,0.125,0,0,0,3.465,0,,,0.125,,,0,,,0.5,1,2,0.5,0.5,0.2,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742192,,20150707,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,63,62,45,80,1.090909,2.181818,2.181818,0.545454,0.545454,0.545454,1.090909,0.136363,1.090909,0,0.545454,8.727273,,,,,,,,,0.40909,,0.272727,0.545454,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,3.2,,,,,,,,,,,,0,0,0.249999,0.249999,0.299999,0,0.599999,0.499999,0.999999,0.249999,0.249999,0.249999,4.207499,,0.562499,0,1.499999,,0,0.25,0.125,0,0,0,3.465,0,,,0.125,,,0,,,0.5,1,2,0.5,0.5,0.2,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742228,,20150812,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,64,67,47,77,1.090909,2.181818,2.181818,0.545454,0.545454,0.545454,0.272727,0.272727,1.090909,0,0.545454,8.727273,,,,,,,,,0,,0.545454,0.545454,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,3.2,,,,,,,,,,,,0.249999,0.499999,0.249999,0.249999,0.499999,0,0.799999,0.499999,0.999999,0.249999,0.249999,0.249999,4.207499,,0.562499,0,1.499999,,0,0.25,0.125,0,0,0,3.465,0,,,0.125,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742254,,20150907,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,64,67,45,77,1.090909,2.181818,2.181818,0.545454,0.545454,0.545454,0.272727,0.272727,1.090909,0,0.545454,8.727273,,,,,,,,,0,,0.545454,0.545454,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,3.2,,,,,,,,,,,,0.249999,0.499999,0.249999,0.249999,0.499999,0,0.799999,0.499999,0.999999,0.249999,0.249999,0.249999,4.207499,,0.562499,0,1.499999,,0,0.25,0.125,0,0,0,2.8,0,,,0.125,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742281,,20151004,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,63,67,45,77,1.09,2.18,2.18,0.54,0.54,0.54,0.27,0.27,1.09,0,0.54,8.72,,,,,,,,,0,,0.54,0.54,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,3.2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.79,0.5,1,0.25,0.25,0.25,4.2,,0.56,0,1.5,,0,0.25,0.12,0,0,0,2.8,0,,,0.12,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742314,,20151106,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,62,62,45,77,1.09,2.18,2.18,0.54,0.54,0.54,0.27,0.27,1.09,0,0.54,8.72,,,,,,,,,0,,0.54,0.54,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.79,0.5,1,0.25,0.25,0.25,4.2,,0.56,0,1.5,,0,0.25,0.12,0,0,0,2.8,0,,,0.12,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742344,,20151206,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,62,62,45,77,1.09,2.18,2.18,0.54,0.54,0.54,0.27,0.27,1.09,0,0.54,8.72,,,,,,,,,0,,0.54,0.54,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.79,0.5,1,0.25,0.25,0.25,4.2,,0.56,0,1.5,,0,0.25,0.12,0,0,0,2.8,0,,,0.12,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742372,,20160103,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,62.36,62.28,45.14,77.47,1.09,2.18,2.18,0.54,0.54,0.54,0.27,0.27,1.09,0,0.54,8.72,,,,,,,,,0,,0.54,0.54,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.79,0.5,1,0.25,0.25,0.25,4.2,,0.56,0,1.5,,0,0.25,0.12,0,0,0,2.8,0,,,0.12,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742407,,20160207,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,62.36,62.28,45.14,77.47,1.09,2.18,2.18,0.54,0.54,0.54,0.27,0.27,1.09,0,0.54,8.72,,,,,,,,,0,,0.54,0.54,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.79,0.5,1,0.25,0.25,0.25,4.2,,0.56,0,1.5,,0,0.25,0.12,0,0,0,2.8,0,,,0.12,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742430,,20160301,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,North America,United States,,AAPL,NasdaqGS,62.36,62.28,45.14,77.47,1.09,2.18,2.18,0.54,0.54,0.54,0.27,0.27,1.09,0,0.54,8.72,,,,,,,,,0,,0.54,0.54,,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.79,0.5,1,0.25,0.25,0.25,4.2,,0.56,0,1.5,,0,0.25,0.12,0,0,0,2.8,0,,,0.12,,,0,,,0.5,1,2,0.5,0.5,0.75,,0.75,1,0,,,1.5,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,
IQ2493742482,,20160422,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,United States and Canada,United States,,AAPL,NasdaqGS,62.33,62.28,44.34,78.09,1.09,2.2,2.2,0.6,0.6,0.6,,0.275,1.1,0,0.6,8.7,,,,,,,,,0,,0.545,0.5,0.5,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.3,0.5,0.25,0.25,0.5,0,0.8,0.5,1,0.25,0.25,0.25,4.2075,,0.563,0,1.5,,0,0.3,0.2,0,0,,2.8,0,,,,,,0,,0.16,0.6,,2,0.65,0.7,0.9,1.2375,,,0,,1.575,1.495,,,,,,,,,,,,,0,0.01,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
IQ2493742679,,20160511,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,United States and Canada,United States,,AAPL,NasdaqGS,62.33,62.28,44.34,78.09,1.09,2.2,2.2,0.6,0.6,0.6,,0.275,1.1,0,0.6,8.7,,,,,,,,,0,,0.545,0.5,0.5,,,1,3,1.4,0,,,,,,,,,3,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.3,0.5,0.25,0.25,0.5,0,0.8,0.5,1,0.25,0.25,0.25,4.2075,,0.563,0,1.5,,0,0.3,0.2,0,0,,2.8,0,,,,,,0,,0.16,0.6,,2,0.65,0.7,0.9,1.2375,,,0,,1.575,1.495,,,,,,,,,,,,,0,0.01,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
IQ2493742528,,20160607,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,United States and Canada,United States,US0378331005,AAPL,NasdaqGS,62.33,62.28,44.34,78.09,1.09,2.18,2.18,0.55,0.55,0.55,,0.275,1.09,0,0.55,8.73,,,,,,,,,0,,0.545,0.545,0.545,,,1,3,1.4,0,,,,,,,,,2.97,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.8,0.5,1,0.25,0.25,0.25,4.2075,,0.5625,0,1.5,,0,0.325,0.1625,0,0,,2.8,0,,,,,,0,,0.1625,0.58,,2,0.65,0.65,0.8625,1.2375,,,0,,1.575,1.495,,,,,,,,,,,,,0,0.01,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
IQ2493742555,,20160704,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,United States and Canada,United States,US0378331005,AAPL,NasdaqGS,62.33,62.28,44.34,78.09,1.09,2.18,2.18,0.55,0.55,0.55,,0.275,1.09,0,0.55,8.73,,,,,,,,,0,,0.545,0.545,0.545,,,1,3,1.4,0,,,,,,,,,2.97,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.8,0.5,1,0.25,0.25,0.25,4.2075,,0.5625,0,1.5,,0,0.325,0.1625,0,0,,2.8,0,,,,,,0,,0.1625,0.58,,2,0.65,0.65,0.8625,1.2375,,,0,,1.575,1.495,,,,,,,,,,,,,0,0.01,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
IQ2493742590,,20160808,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,United States and Canada,United States,US0378331005,AAPL,NasdaqGS,62.33,62.28,44.34,78.09,1.09,2.18,2.18,0.55,0.55,0.55,,0.275,1.09,0,0.55,8.73,,,,,,,,,0,,0.545,0.545,0.545,,,1,3,1.4,0,,,,,,,,,2.97,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.8,0.5,1,0.25,0.25,0.25,4.2075,,0.5625,0,1.5,,0,0.325,0.1625,0,0,,2.8,0,,,,,,0,,0.1625,0.58,,2,0.65,0.65,0.8625,1.2375,,,0,,1.575,1.495,,,,,,,,,,,,,0,0.01,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
IQ2493742640,,20160927,Apple Inc.,Technology Hardware,Type_A,Public,IQ24937,,United States and Canada,United States,US0378331005,AAPL,NasdaqGS,62.33,62.28,44.34,78.09,1.09,2.18,2.18,0.55,0.55,0.55,,0.275,1.09,0,0.55,8.73,,,,,,,,,0,,0.545,0.545,0.545,,,1,3,1.4,0,,,,,,,,,2.97,,,,,,2,1.5,,,,,,,,,,,1,1,0,0.5,2,,,,,,,,,,,,0.25,0.5,0.25,0.25,0.5,0,0.8,0.5,1,0.25,0.25,0.25,4.2075,,0.5625,0,1.5,,0,0.325,0.1625,0,0,,2.8,0,,,,,,0,,0.1625,0.58,,2,0.65,0.65,0.8625,1.2375,,,0,,1.575,1.495,,,,,,,,,,,,,0,0.01,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
